ID,Core #,min depth,max depth,ave depth,east,north,clay,silt,sand,f.sand,c.sand,fs/cs,# hits,bulk density,lab text,theta G,theta V,pH,EC1:5 (mS/cm),Cl soil (mg/kg),colour,C,M,Y,K,notes,lat,long
58,1,0,0.5,0.25,769438.766,6751931.51,0.4496208952,0.1942052544,0.3287691059,18.38128773,12.81623072,1.434219478,,,,,,8.58,446,,10YR 3/2,19,25,32,41,,-29.33291667,149.774685
59,1,0.5,1,0.75,769438.766,6751931.51,0.4124889394,0.2103348319,0.337840412,16.59684987,15.46012064,1.073526543,,,,,,8.57,358.3,,10YR 4/2,19,25,33,36,CaCO3,-29.33291667,149.774685
60,1,1,1.5,1.25,769438.766,6751931.51,0.4250601409,0.1977022838,0.3624797537,17.5539398,16.84105512,1.042330167,,,,,,8.61,337.8,,7.5YR 4/4,19,32,44,31,CaCO3,-29.33291667,149.774685
157,1,2,2.15,2.075,769438.766,6751931.51,0.4256532936,0.1719760844,0.3922361056,18.97596312,18.26671057,1.038827601,2,,,0.198873411,,,,37.70787417,10YR 4/2,19,26,33,31,,-29.33291667,149.774685
157,1,2.15,2.3,2.225,769438.766,6751931.51,0.4256532936,0.1719760844,0.3922361056,18.97596312,18.26671057,1.038827601,4,,,,,,,,,,,,,,-29.33291667,149.774685
157,1,2.3,2.45,2.375,769438.766,6751931.51,0.4256532936,0.1719760844,0.3922361056,18.97596312,18.26671057,1.038827601,5,,,,,,,,,,,,,,-29.33291667,149.774685
158,1,3,3.15,3.075,769438.766,6751931.51,0.4458461059,0.1811468454,0.3656881592,18.08456729,16.62849622,1.087564808,2,1.598795854,,0.145375248,0.2324253437,8.54,393,103.0175178,10YR 5/4,20,31,45,17,carbonates appear,-29.33291667,149.774685
158,1,3.15,3.3,3.225,769438.766,6751931.51,0.4458461059,0.1811468454,0.3656881592,18.08456729,16.62849622,1.087564808,6,,,,,,,,,,,,,,-29.33291667,149.774685
158,1,3.3,3.45,3.375,769438.766,6751931.51,0.4458461059,0.1811468454,0.3656881592,18.08456729,16.62849622,1.087564808,7,,,,,,,,,,,,,,-29.33291667,149.774685
159,1,4,4.15,4.075,769438.766,6751931.51,0.4495198906,0.1481189337,0.3830724539,18.3211039,18.05064935,1.014983092,3,,,0.2156061777,,8.5,438,280.7159191,10YR 5/4,20,31,45,17,charcoal? (sample taken),-29.33291667,149.774685
159,1,4.15,4.3,4.225,769438.766,6751931.51,0.4495198906,0.1481189337,0.3830724539,18.3211039,18.05064935,1.014983092,7,,,,,,,,,,,,,,-29.33291667,149.774685
159,1,4.3,4.45,4.375,769438.766,6751931.51,0.4495198906,0.1481189337,0.3830724539,18.3211039,18.05064935,1.014983092,9,,,,,,,,,,,,,,-29.33291667,149.774685
160,1,5,5.15,5.075,769438.766,6751931.51,0.4459709379,0.1582505736,0.3851282764,18.38177015,18.17470277,1.011393164,4,1.655684366,,0.2085138057,0.3452330481,8.42,504,375.6195942,10YR 6/2,20,26,33,11,,-29.33291667,149.774685
160,1,5.15,5.3,5.225,769438.766,6751931.51,0.4459709379,0.1582505736,0.3851282764,18.38177015,18.17470277,1.011393164,8,,,,,,,,,,,,,,-29.33291667,149.774685
160,1,5.3,5.45,5.375,769438.766,6751931.51,0.4459709379,0.1582505736,0.3851282764,18.38177015,18.17470277,1.011393164,9,,,,,,,,,,,,,,-29.33291667,149.774685
